epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2951.18,1.18304,2.12282,0.96886,1.24132,0.77727,0.66401,0.73964,0.47121,0.78658,0.64444,0.72365,0.38254,1.21501,2.04119,0.86577,1.20587,0.0007888,0.0007888,0.0007888
66,2994.99,1.1858,2.12006,0.96982,1.23981,0.77866,0.66633,0.73841,0.47033,0.77789,0.6524,0.72182,0.38077,1.21814,2.04263,0.86943,1.2089,0.0007855,0.0007855,0.0007855
67,3039.95,1.19009,2.12613,0.9704,1.24191,0.77856,0.67032,0.74181,0.47053,0.78325,0.64677,0.72229,0.3829,1.21463,2.03932,0.86694,1.20782,0.0007822,0.0007822,0.0007822
68,3085.09,1.17865,2.11023,0.96744,1.24002,0.77902,0.66881,0.74018,0.46881,0.78182,0.65672,0.72456,0.38267,1.21678,2.03668,0.86872,1.20948,0.0007789,0.0007789,0.0007789
69,3130.39,1.1863,2.12297,0.97218,1.24244,0.7782,0.66833,0.74126,0.46995,0.77964,0.65075,0.72261,0.38185,1.21513,2.03576,0.86447,1.20817,0.0007756,0.0007756,0.0007756
70,3174.77,1.18591,2.11423,0.97102,1.2391,0.78283,0.66501,0.74319,0.47106,0.7947,0.64179,0.7269,0.38356,1.21259,2.03494,0.85995,1.20534,0.0007723,0.0007723,0.0007723
71,3219.87,1.16986,2.10709,0.96288,1.23687,0.76946,0.67417,0.74413,0.47181,0.76189,0.65695,0.72321,0.38354,1.20779,2.03369,0.86548,1.2031,0.000769,0.000769,0.000769
72,3264.03,1.16945,2.10254,0.95502,1.23588,0.78807,0.65985,0.74238,0.4711,0.7758,0.64844,0.72137,0.38307,1.20958,2.04103,0.8633,1.20345,0.0007657,0.0007657,0.0007657
73,3309.03,1.17682,2.09906,0.96153,1.23673,0.79042,0.65837,0.74122,0.47184,0.78,0.64911,0.72187,0.38351,1.21067,2.04061,0.85922,1.20356,0.0007624,0.0007624,0.0007624
74,3353.59,1.17185,2.09963,0.95383,1.23657,0.78836,0.65274,0.74094,0.47182,0.79218,0.64179,0.72274,0.38554,1.21027,2.03918,0.86078,1.20279,0.0007591,0.0007591,0.0007591
