epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2390.12,2.57565,2.73954,2.13767,1.21781,0.40333,0.37461,0.3643,0.15959,0.37667,0.34985,0.33708,0.12817,2.46053,2.3112,1.79858,1.1363,0.0012278,0.0012278,0.0012278
41,2489.12,2.52581,2.67107,2.0138,1.1883,0.40333,0.37461,0.3643,0.15959,0.37667,0.34985,0.33708,0.12817,2.46053,2.3112,1.79858,1.1363,0.001208,0.001208,0.001208
42,2604.55,2.47614,2.63943,1.98363,1.1942,0.40333,0.37461,0.3643,0.15959,0.37667,0.34985,0.33708,0.12817,2.46053,2.3112,1.79858,1.1363,0.0011882,0.0011882,0.0011882
43,2746.94,2.66193,2.83941,2.1486,1.22226,0.40333,0.37461,0.3643,0.15959,0.37667,0.34985,0.33708,0.12817,2.46053,2.3112,1.79858,1.1363,0.0011684,0.0011684,0.0011684
44,2852.4,2.43952,2.53406,1.98109,1.18392,0.49015,0.36223,0.38463,0.16791,0.39907,0.36842,0.34067,0.12399,2.45987,2.26375,1.73222,1.15165,0.0011486,0.0011486,0.0011486
45,2963.54,2.55819,2.72002,2.033,1.19258,0.49015,0.36223,0.38463,0.16791,0.39907,0.36842,0.34067,0.12399,2.45987,2.26375,1.73222,1.15165,0.0011288,0.0011288,0.0011288
46,3092.69,2.50925,2.5213,1.96817,1.18641,0.49015,0.36223,0.38463,0.16791,0.39907,0.36842,0.34067,0.12399,2.45987,2.26375,1.73222,1.15165,0.001109,0.001109,0.001109
47,3228.89,2.57588,2.68345,2.03638,1.19341,0.47177,0.3808,0.39984,0.18178,0.46255,0.34056,0.35671,0.12334,2.35972,2.19862,1.69794,1.13992,0.0010892,0.0010892,0.0010892
48,3396.03,2.49556,2.61347,1.97554,1.21066,0.47177,0.3808,0.39984,0.18178,0.46255,0.34056,0.35671,0.12334,2.35972,2.19862,1.69794,1.13992,0.0010694,0.0010694,0.0010694
49,3597.01,2.52702,2.63835,1.98455,1.16934,0.47177,0.3808,0.39984,0.18178,0.46255,0.34056,0.35671,0.12334,2.35972,2.19862,1.69794,1.13992,0.0010496,0.0010496,0.0010496
50,3783.96,2.54933,2.65294,1.9989,1.20699,0.52933,0.36842,0.41788,0.18434,0.49957,0.34056,0.37153,0.13114,2.3488,2.19039,1.65746,1.13349,0.0010298,0.0010298,0.0010298
51,3937.18,2.47368,2.51053,1.86734,1.16278,0.52933,0.36842,0.41788,0.18434,0.49957,0.34056,0.37153,0.13114,2.3488,2.19039,1.65746,1.13349,0.00101,0.00101,0.00101
52,4043.58,2.44728,2.56088,1.85023,1.1706,0.52933,0.36842,0.41788,0.18434,0.49957,0.34056,0.37153,0.13114,2.3488,2.19039,1.65746,1.13349,0.0009902,0.0009902,0.0009902
53,4229.72,2.42509,2.51839,1.87471,1.19633,0.48267,0.39319,0.39902,0.18799,0.43,0.39938,0.37493,0.13572,2.30308,2.15773,1.63513,1.11139,0.0009704,0.0009704,0.0009704
54,4466.85,2.4199,2.47129,1.86141,1.17142,0.48267,0.39319,0.39902,0.18799,0.43,0.39938,0.37493,0.13572,2.30308,2.15773,1.63513,1.11139,0.0009506,0.0009506,0.0009506
55,4624.77,2.47558,2.56647,1.8984,1.18214,0.48267,0.39319,0.39902,0.18799,0.43,0.39938,0.37493,0.13572,2.30308,2.15773,1.63513,1.11139,0.0009308,0.0009308,0.0009308
56,4787.09,2.49861,2.57898,1.89939,1.18137,0.44333,0.41176,0.40885,0.19465,0.41,0.3808,0.37947,0.13366,2.28626,2.11367,1.6561,1.10594,0.000911,0.000911,0.000911
57,4939.85,2.4557,2.55886,1.87944,1.1876,0.44333,0.41176,0.40885,0.19465,0.41,0.3808,0.37947,0.13366,2.28626,2.11367,1.6561,1.10594,0.0008912,0.0008912,0.0008912
58,5089.21,2.58857,2.70858,1.965,1.18102,0.44333,0.41176,0.40885,0.19465,0.41,0.3808,0.37947,0.13366,2.28626,2.11367,1.6561,1.10594,0.0008714,0.0008714,0.0008714
